Year,State,fertility_rate,covid_year,religousness_rate,percent_white,percent_black,percent_hispanic,percent_asian,percent_mixed_race,poverty_measure,foreign_born,percent_bachelors_or_higher,percent_less_than_high_school,percent_high_school_or_some_college,political_ranking
2019,Kentucky,62.6,0,496.2489999999998,0.845,0.08,0.037,0.016,0.02,15.9,3.8,0.103,0.7230000000000001,0.1739999999999999,0.2105263157894736
2020,Kentucky,60.8,1,494.09,0.8374999999999999,0.074,0.0375,0.0155,0.0335,16.15,3.8666666666666663,0.103,0.7230000000000001,0.1739999999999999,0.2105263157894736
2021,Kentucky,60.8,0,491.9309999999996,0.83,0.068,0.038,0.015,0.047,16.4,3.9333333333333336,0.103,0.7230000000000001,0.1739999999999999,0.2105263157894736
2022,Kentucky,61.1,0,489.77199999999993,0.825,0.074,0.041,0.014,0.045,16.7,4.0,0.103,0.7230000000000001,0.1739999999999999,0.2105263157894736
2014,Louisiana,68.4,0,616.8499999999995,0.596,0.319,0.047,0.017,0.016,19.4,3.933333333333333,0.085,0.709,0.206,0.3421052631578947
2015,Louisiana,68.5,0,619.5799999999999,0.594,0.318,0.049,0.017,0.018,19.3,3.966666666666667,0.085,0.709,0.206,0.3421052631578947
2016,Louisiana,67.2,0,622.3099999999995,0.594,0.318,0.049,0.017,0.017,20.1,4.0,0.084,0.677,0.2389999999999999,0.3421052631578947
2017,Louisiana,65.2,0,625.04,0.588,0.318,0.052,0.018,0.019,19.8,4.033333333333333,0.084,0.677,0.2389999999999999,0.3421052631578947
2018,Louisiana,64.3,0,627.7699999999995,0.588,0.316,0.051,0.016,0.023,18.5,4.066666666666666,0.084,0.677,0.2389999999999999,0.3421052631578947
2019,Louisiana,63.9,0,630.5,0.588,0.319,0.052,0.017,0.019,18.5,4.1,0.084,0.677,0.2389999999999999,0.3421052631578947
2020,Louisiana,62.2,1,633.23,0.581,0.3125,0.0535,0.0175,0.0315,18.9,4.133333333333334,0.084,0.677,0.2389999999999999,0.3421052631578947
2021,Louisiana,62.7,0,635.96,0.574,0.306,0.055,0.018,0.044,19.3,4.166666666666667,0.084,0.677,0.2389999999999999,0.3421052631578947
2022,Louisiana,61.8,0,638.6899999999996,0.571,0.306,0.057,0.018,0.044,18.3,4.2,0.084,0.677,0.2389999999999999,0.3421052631578947
2014,Maine,54.3,0,288.96199999999953,0.938,0.012,0.012,0.01,0.023,14.3,3.6333333333333337,0.099,0.694,0.207,0.6578947368421052
2015,Maine,54.3,0,292.125,0.937,0.011,0.015,0.011,0.022,12.6,3.6916666666666664,0.099,0.694,0.207,0.6578947368421052
2016,Maine,54.9,0,295.28799999999956,0.936,0.015,0.015,0.012,0.016,12.6,3.75,0.1159999999999999,0.69,0.194,0.6578947368421052
2017,Maine,53.1,0,298.451,0.937,0.011,0.016,0.011,0.019,11.1,3.808333333333333,0.1159999999999999,0.69,0.194,0.6578947368421052
2018,Maine,53.3,0,301.6139999999996,0.934,0.013,0.015,0.013,0.021,10.8,3.8666666666666663,0.1159999999999999,0.69,0.194,0.6578947368421052
2019,Maine,50.6,0,304.77700000000004,0.932,0.014,0.017,0.011,0.019,10.3,3.925,0.1159999999999999,0.69,0.194,0.6578947368421052
2020,Maine,49.2,1,307.94,0.916,0.014,0.0175,0.011,0.036,11.1,3.983333333333333,0.1159999999999999,0.69,0.194,0.6578947368421052
2021,Maine,49.9,0,311.10300000000007,0.9,0.014,0.018,0.011,0.053,11.9,4.041666666666666,0.1159999999999999,0.69,0.194,0.6578947368421052
2022,Maine,49.7,0,314.2659999999996,0.905,0.016,0.02,0.009,0.045,10.0,4.1,0.1159999999999999,0.69,0.194,0.6578947368421052
2014,Maryland,61.5,0,424.89800000000014,0.525,0.291,0.094,0.062,0.027,9.8,14.833333333333334,0.161,0.745,0.094,0.9736842105263156
2015,Maryland,61.3,0,426.53499999999985,0.519,0.288,0.095,0.064,0.032,9.9,15.066666666666666,0.161,0.745,0.094,0.9736842105263156
2016,Maryland,61.3,0,428.172,0.514,0.293,0.098,0.063,0.03,9.2,15.3,0.177,0.739,0.084,0.9736842105263156
2017,Maryland,60.0,0,429.8090000000002,0.507,0.292,0.102,0.065,0.031,9.2,15.533333333333331,0.177,0.739,0.084,0.9736842105263156
